trxID,amount,source,type,transactionTime
TRX001,150.50,BCA,DEBIT,2024-03-15T10:30:00Z
TRX002,2500.00,MANDIRI,CREDIT,2024-03-15T14:20:00Z
TRX003,75.25,MANDIRI,DEBIT,2024-03-16T09:15:00Z
TRX004,1000.00,BCA,CREDIT,2024-03-16T11:45:00Z
TRX005,500.75,BNI,DEBIT,2024-03-17T08:30:00Z
TRX006,3200.00,MANDIRI,CREDIT,2024-03-17T15:00:00Z
TRX007,250.00,BCA,DEBIT,2024-03-18T10:00:00Z
TRX008,1500.50,BNI,CREDIT,2024-03-18T13:20:00Z
TRX009,800.00,MANDIRI,DEBIT,2024-03-19T09:00:00Z
TRX010,5000.00,BCA,CREDIT,2024-03-19T16:30:00Z
TRX011,125.00,MANDIRI,DEBIT,2024-03-20T10:15:00Z
TRX012,2000.00,BNI,CREDIT,2024-03-20T14:45:00Z
